empi_rmse,empi_rmse,empi_rmse,my_bound,my_bound,my_bound
52.6474,27.2313,41.731,16.0106,16.1732,15.9372
49.8125,23.0853,36.0787,15.8734,15.8379,15.8506
49.7582,17.6965,36.5947,15.8066,15.8233,15.8384
49.8322,21.4775,32.6638,15.7954,15.7968,15.81
49.6726,19.2257,34.0186,15.7701,15.6729,15.7904
49.6008,19.3641,31.164,15.776,15.6743,15.7587
50.085,18.0922,30.3756,15.7656,15.6593,15.7666
49.5001,19.1612,32.3218,15.7629,15.6359,15.7613
50.2199,17.0588,29.6765,15.7506,15.656,15.7456
50.1413,17.4353,29.5826,15.7466,15.5865,15.7671
50.1147,16.802,29.464,15.7379,15.6082,15.7346
49.974,18.1976,30.1828,15.7385,15.6205,15.7272
50.1444,17.4688,29.9748,15.7289,15.5896,15.7323
50.0884,16.8524,29.8419,15.7323,15.6282,15.7328
49.969,17.3372,30.8492,15.7248,15.6304,15.717
51.6194,17.2286,30.5778,15.7177,15.5881,15.7283
49.6339,17.1621,28.8326,15.7167,15.5775,15.6987
50.2335,16.6613,28.8788,15.7032,15.6308,15.7147
50.1909,17.1026,29.8338,15.6898,15.5813,15.7075
50.8034,16.8923,28.0355,15.7228,15.5694,15.7031
50.2229,16.7473,29.1231,15.699,15.584,15.6922
49.7609,18.9799,29.6704,15.7081,15.5548,15.7074
50.7407,17.0044,28.4433,15.7047,15.5724,15.6917
51.1958,15.4708,29.4612,15.6884,15.5584,15.6791
50.1178,15.9985,28.8317,15.6973,15.5672,15.6746
49.8202,15.7537,29.1274,15.6872,15.5482,15.6826
50.9845,16.4069,28.2612,15.6789,15.5518,15.6776
50.7115,18.8269,30.0137,15.6854,15.5333,15.6646
50.7839,17.5008,29.2437,15.6886,15.5395,15.6706
51.6355,16.3028,28.4896,15.6707,15.5142,15.6623
50.8915,18.1451,27.001,15.6681,15.5069,15.6671
50.3399,17.062,27.2869,15.6781,15.5282,15.66
50.3645,16.1068,28.3892,15.6717,15.521,15.6533
50.7425,18.0672,28.1017,15.653,15.4985,15.6464
50.9935,16.4931,28.2723,15.6546,15.5116,15.65
50.9961,16.4636,28.3629,15.6662,15.4895,15.6424
51.1978,17.1005,28.7954,15.6613,15.4982,15.6462
51.5147,17.8855,28.1557,15.6502,15.4725,15.6572
49.9656,15.2761,28.0062,15.656,15.4921,15.6467
50.8174,14.5893,28.8427,15.6771,15.4809,15.6477
49.9941,15.6628,27.5871,15.6603,15.5112,15.6403
50.9137,15.8371,27.7189,15.645,15.4857,15.643
50.6314,15.249,27.3835,15.6496,15.4772,15.6421
50.824,16.0102,30.9252,15.6439,15.4783,15.6302
50.5734,15.903,28.5366,15.6451,15.4769,15.6374
50.1407,16.4755,27.6693,15.645,15.4751,15.6309
50.8513,16.8579,27.3734,15.6343,15.4806,15.6239
51.0783,17.2362,27.5837,15.6142,15.4696,15.62
50.0765,15.1378,27.4169,15.6249,15.4659,15.612